"category","question","contexts","answer","ground_truth","context_precision","context_recall","faithfulness","answer_relevancy"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Thương mại điện tử năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Thương mại điện tử năm 2023.","Thông tin cơ bản về Thương mại điện tử năm 2023.","0.9175","0.9772","0.9787","0.9358"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kế toán năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kế toán năm 2023.","Thông tin cơ bản về Kế toán năm 2023.","0.9311","0.9916","0.9762","0.9533"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật ô tô năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật ô tô năm 2022.","Thông tin cơ bản về Kỹ thuật ô tô năm 2022.","0.9216","0.9753","0.9404","0.9791"
"Đa bậc đào tạo","Học phí thạc sĩ ngành Quản trị kinh doanh là bao nhiêu?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Quản trị kinh doanh.","Thông tin bậc đào tạo sau ĐH ngành Quản trị kinh doanh.","0.8547","0.8209","0.8632","0.8313"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Logistics năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Logistics năm 2022.","Thông tin cơ bản về Logistics năm 2022.","0.9526","0.9737","0.9852","0.9452"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Trí tuệ nhân tạo năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Trí tuệ nhân tạo năm 2024.","Thông tin cơ bản về Trí tuệ nhân tạo năm 2024.","0.9296","0.972","0.9843","0.9242"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Cơ điện tử năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Cơ điện tử năm 2023.","Thông tin cơ bản về Cơ điện tử năm 2023.","0.9199","0.9748","0.9609","0.9676"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Tài chính ngân hàng năm 2023 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Tài chính ngân hàng năm 2023.","Thông tin cơ bản về Tài chính ngân hàng năm 2023.","0.9586","0.9746","0.9837","0.9738"
"Đa bậc đào tạo","Học phí thạc sĩ ngành Kỹ thuật ô tô là bao nhiêu?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật ô tô.","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật ô tô.","0.8587","0.8019","0.8622","0.8372"
"Đa bậc đào tạo","Học phí thạc sĩ ngành Luật là bao nhiêu?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Luật.","Thông tin bậc đào tạo sau ĐH ngành Luật.","0.8617","0.7972","0.8759","0.8345"
"Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kỹ thuật máy tính không, và học phí so với Quản trị kinh doanh thế nào?","['Tài liệu Kỹ thuật máy tính và Quản trị kinh doanh']","So sánh: Phân tích giữa Kỹ thuật máy tính và Quản trị kinh doanh...","Phân tích giữa Kỹ thuật máy tính và Quản trị kinh doanh...","0.8822","0.834","0.9269","0.8899"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Hệ thống thông tin năm 2024 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Hệ thống thông tin năm 2024.","Thông tin cơ bản về Hệ thống thông tin năm 2024.","0.9328","0.9675","0.9778","0.9567"
"Ngoài phạm vi","Mức lương trung bình ngành IT ở Mỹ?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9508"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Kỹ thuật phần mềm năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật phần mềm năm 2024.","Thông tin cơ bản về Kỹ thuật phần mềm năm 2024.","0.9351","0.9964","0.9537","0.9308"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Tài chính ngân hàng năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Tài chính ngân hàng năm 2023.","Thông tin cơ bản về Tài chính ngân hàng năm 2023.","0.9418","0.9786","0.952","0.9299"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Kinh tế số năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kinh tế số năm 2024.","Thông tin cơ bản về Kinh tế số năm 2024.","0.9273","0.9792","0.9832","0.979"
"Ngoài phạm vi","Thuyết tương đối là gì?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.924"
"Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kỹ thuật máy tính không, và học phí so với Quản trị kinh doanh thế nào?","['Tài liệu Kỹ thuật máy tính và Quản trị kinh doanh']","So sánh: Phân tích giữa Kỹ thuật máy tính và Quản trị kinh doanh...","Phân tích giữa Kỹ thuật máy tính và Quản trị kinh doanh...","0.8701","0.8486","0.9386","0.9042"
"Từ lóng viết tắt","Thi khối nào vào OTO?","['Giải nghĩa: OTO']","Nhận diện OTO. Thông tin chi tiết về OTO.","Thông tin chi tiết về OTO.","0.88","0.9278","0.8874","0.9306"
"Logic phức hợp","Ngành Quản trị khách sạn và Logistics ngành nào lấy điểm cao hơn năm 2024?","['Tài liệu Quản trị khách sạn và Logistics']","So sánh: Phân tích giữa Quản trị khách sạn và Logistics...","Phân tích giữa Quản trị khách sạn và Logistics...","0.9069","0.8325","0.927","0.8602"
"Tra cứu đơn lẻ","Ngành Hệ thống thông tin xét những tổ hợp môn nào trong năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Hệ thống thông tin năm 2023.","Thông tin cơ bản về Hệ thống thông tin năm 2023.","0.9318","0.997","0.9393","0.9687"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Ngôn ngữ Anh năm 2023 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Ngôn ngữ Anh năm 2023.","Thông tin cơ bản về Ngôn ngữ Anh năm 2023.","0.9655","0.9592","0.9439","0.9343"
"Tra cứu đơn lẻ","Học phí ngành Kỹ thuật ô tô năm 2024 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật ô tô năm 2024.","Thông tin cơ bản về Kỹ thuật ô tô năm 2024.","0.9447","0.96","0.9454","0.9501"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật xây dựng năm 2022 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật xây dựng năm 2022.","Thông tin cơ bản về Kỹ thuật xây dựng năm 2022.","0.9251","0.9995","0.9345","0.9261"
"Ngoài phạm vi","Trường Đại học Bách Khoa lấy bao nhiêu điểm?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.94"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Kỹ thuật điện năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật điện năm 2022.","Thông tin cơ bản về Kỹ thuật điện năm 2022.","0.9699","0.9914","0.9642","0.9536"
"Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật cơ khí năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật cơ khí năm 2022.","Thông tin cơ bản về Kỹ thuật cơ khí năm 2022.","0.9697","0.9972","0.9755","0.938"
"Đa bậc đào tạo","Thời gian học NCS ngành Ngôn ngữ Anh?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Ngôn ngữ Anh.","Thông tin bậc đào tạo sau ĐH ngành Ngôn ngữ Anh.","0.8848","0.8081","0.9023","0.8234"
"Từ lóng viết tắt","Chỉ tiêu CK trường lấy bn?","['Giải nghĩa: CK']","Nhận diện CK. Thông tin chi tiết về CK.","Thông tin chi tiết về CK.","0.9286","0.9243","0.877","0.8997"
"Từ lóng viết tắt","Thi khối nào vào DL?","['Giải nghĩa: DL']","Nhận diện DL. Thông tin chi tiết về DL.","Thông tin chi tiết về DL.","0.894","0.9286","0.8624","0.9252"
"Từ lóng viết tắt","Học AI tốn bao nhiêu tiền?","['Giải nghĩa: AI']","Nhận diện AI. Thông tin chi tiết về AI.","Thông tin chi tiết về AI.","0.9142","0.9386","0.9063","0.9099"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kinh tế số năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kinh tế số năm 2022.","Thông tin cơ bản về Kinh tế số năm 2022.","0.9102","0.9822","0.95","0.9381"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Công nghệ thông tin năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Công nghệ thông tin năm 2022.","Thông tin cơ bản về Công nghệ thông tin năm 2022.","0.9572","0.9991","0.9845","0.9541"
"Từ lóng viết tắt","Khối thi vào KTS?","['Giải nghĩa: KTS']","Nhận diện KTS. Thông tin chi tiết về KTS.","Thông tin chi tiết về KTS.","0.9141","0.9473","0.9101","0.9342"
"Ngoài phạm vi","Trường Kinh tế Quốc dân có xét học bạ không?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9776"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Hệ thống thông tin năm 2022 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Hệ thống thông tin năm 2022.","Thông tin cơ bản về Hệ thống thông tin năm 2022.","0.9142","0.9909","0.937","0.9442"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật xây dựng năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật xây dựng năm 2022.","Thông tin cơ bản về Kỹ thuật xây dựng năm 2022.","0.9551","0.9757","0.9322","0.9652"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật điện năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật điện năm 2022.","Thông tin cơ bản về Kỹ thuật điện năm 2022.","0.9353","0.9714","0.9853","0.9406"
"Ngoài phạm vi","Làm sao để đăng ký tài khoản Facebook?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9424"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Kỹ thuật cơ khí năm 2022 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật cơ khí năm 2022.","Thông tin cơ bản về Kỹ thuật cơ khí năm 2022.","0.958","0.9746","0.9407","0.9557"
"Logic phức hợp","Học bổng của ngành Hệ thống thông tin yêu cầu GPA bao nhiêu và so với Khoa học máy tính có dễ hơn không?","['Tài liệu Hệ thống thông tin và Khoa học máy tính']","So sánh: Phân tích giữa Hệ thống thông tin và Khoa học máy tính...","Phân tích giữa Hệ thống thông tin và Khoa học máy tính...","0.8704","0.8398","0.9262","0.8566"
"Ngoài phạm vi","Công nghệ Blockchain là gì?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9652"
"Đa bậc đào tạo","Chi phí học cao học ngành Kỹ thuật ô tô?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật ô tô.","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật ô tô.","0.8588","0.8161","0.9177","0.8224"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Khoa học máy tính năm 2023 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Khoa học máy tính năm 2023.","Thông tin cơ bản về Khoa học máy tính năm 2023.","0.9215","0.9648","0.9495","0.964"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Logistics năm 2024 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Logistics năm 2024.","Thông tin cơ bản về Logistics năm 2024.","0.9692","0.9537","0.9603","0.9362"
"Tra cứu đơn lẻ","Ngành Kỹ thuật cơ khí xét những tổ hợp môn nào trong năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật cơ khí năm 2024.","Thông tin cơ bản về Kỹ thuật cơ khí năm 2024.","0.9157","0.9931","0.9597","0.9421"
"Tra cứu đơn lẻ","Khối thi của ngành Quản trị khách sạn năm 2022 là gì?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị khách sạn năm 2022.","Thông tin cơ bản về Quản trị khách sạn năm 2022.","0.9652","0.9822","0.9368","0.9393"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật cơ khí năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật cơ khí năm 2023.","Thông tin cơ bản về Kỹ thuật cơ khí năm 2023.","0.9551","0.9561","0.9322","0.9347"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kinh tế số năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kinh tế số năm 2023.","Thông tin cơ bản về Kinh tế số năm 2023.","0.9642","1","0.9392","0.9503"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Quản trị khách sạn năm 2022 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị khách sạn năm 2022.","Thông tin cơ bản về Quản trị khách sạn năm 2022.","0.9427","0.9728","0.9496","0.9361"
"Từ lóng viết tắt","review ngành Luật ở TLU?","['Giải nghĩa: Luật']","Nhận diện Luật. Thông tin chi tiết về Luật.","Thông tin chi tiết về Luật.","0.8751","0.9079","0.9111","0.9159"
"Từ lóng viết tắt","Thi khối nào vào Nước?","['Giải nghĩa: Nước']","Nhận diện Nước. Thông tin chi tiết về Nước.","Thông tin chi tiết về Nước.","0.871","0.9066","0.9045","0.8964"
"Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật phần mềm năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật phần mềm năm 2023.","Thông tin cơ bản về Kỹ thuật phần mềm năm 2023.","0.9492","0.9847","0.9889","0.9727"
"Ngoài phạm vi","Các địa điểm phượt quanh Hà Nội?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9566"
"Đa bậc đào tạo","Điều kiện học văn bằng 2 ngành Kế toán?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Kế toán.","Thông tin bậc đào tạo sau ĐH ngành Kế toán.","0.8506","0.8481","0.9092","0.8646"
"Đa bậc đào tạo","Thời gian học NCS ngành Logistics?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Logistics.","Thông tin bậc đào tạo sau ĐH ngành Logistics.","0.8465","0.8491","0.873","0.8646"
"Logic phức hợp","Cơ hội việc làm của Trí tuệ nhân tạo và Kỹ thuật máy tính cái nào tốt hơn?","['Tài liệu Trí tuệ nhân tạo và Kỹ thuật máy tính']","So sánh: Phân tích giữa Trí tuệ nhân tạo và Kỹ thuật máy tính...","Phân tích giữa Trí tuệ nhân tạo và Kỹ thuật máy tính...","0.8789","0.8385","0.8819","0.9092"
"Tra cứu đơn lẻ","Ngành Thương mại điện tử xét những tổ hợp môn nào trong năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Thương mại điện tử năm 2022.","Thông tin cơ bản về Thương mại điện tử năm 2022.","0.9543","0.9565","0.9363","0.9459"
"Đa bậc đào tạo","Trường tuyển bao nhiêu thạc sĩ Ngôn ngữ Anh?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Ngôn ngữ Anh.","Thông tin bậc đào tạo sau ĐH ngành Ngôn ngữ Anh.","0.8371","0.8376","0.877","0.8657"
"Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kỹ thuật cơ khí không, và học phí so với Cơ điện tử thế nào?","['Tài liệu Kỹ thuật cơ khí và Cơ điện tử']","So sánh: Phân tích giữa Kỹ thuật cơ khí và Cơ điện tử...","Phân tích giữa Kỹ thuật cơ khí và Cơ điện tử...","0.8999","0.8715","0.9397","0.9075"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật cơ khí năm 2022 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật cơ khí năm 2022.","Thông tin cơ bản về Kỹ thuật cơ khí năm 2022.","0.9331","0.9538","0.9828","0.98"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Luật năm 2024 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Luật năm 2024.","Thông tin cơ bản về Luật năm 2024.","0.9669","0.9842","0.9331","0.9393"
"Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Kỹ thuật điện hay Kỹ thuật xây dựng ưu tiên hơn?","['Tài liệu Kỹ thuật điện và Kỹ thuật xây dựng']","So sánh: Phân tích giữa Kỹ thuật điện và Kỹ thuật xây dựng...","Phân tích giữa Kỹ thuật điện và Kỹ thuật xây dựng...","0.8662","0.8336","0.8948","0.8665"
"Đa bậc đào tạo","Trường tuyển bao nhiêu thạc sĩ Kế toán?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Kế toán.","Thông tin bậc đào tạo sau ĐH ngành Kế toán.","0.8488","0.8481","0.8787","0.8459"
"Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Công nghệ thông tin không, và học phí so với Kỹ thuật phần mềm thế nào?","['Tài liệu Công nghệ thông tin và Kỹ thuật phần mềm']","So sánh: Phân tích giữa Công nghệ thông tin và Kỹ thuật phần mềm...","Phân tích giữa Công nghệ thông tin và Kỹ thuật phần mềm...","0.8531","0.8673","0.9132","0.899"
"Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Hệ thống thông tin năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Hệ thống thông tin năm 2023.","Thông tin cơ bản về Hệ thống thông tin năm 2023.","0.9241","0.9521","0.9691","0.9366"
"Đa bậc đào tạo","Mình tốt nghiệp cao đẳng muốn liên thông Kỹ thuật xây dựng?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật xây dựng.","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật xây dựng.","0.8328","0.8064","0.8951","0.8748"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật ô tô năm 2023 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật ô tô năm 2023.","Thông tin cơ bản về Kỹ thuật ô tô năm 2023.","0.9129","0.9884","0.9517","0.9606"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Ngôn ngữ Anh năm 2024 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Ngôn ngữ Anh năm 2024.","Thông tin cơ bản về Ngôn ngữ Anh năm 2024.","0.9464","0.9567","0.9661","0.9373"
"Từ lóng viết tắt","Khối thi vào HTTT?","['Giải nghĩa: HTTT']","Nhận diện HTTT. Thông tin chi tiết về HTTT.","Thông tin chi tiết về HTTT.","0.9198","0.9343","0.9157","0.9127"
"Ngoài phạm vi","Nhạc cụ nào dễ học nhất?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9433"
