"id","category","question","ground_truth"
"152","Tra cứu đơn lẻ","Học phí ngành Kỹ thuật xây dựng năm 2024 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật xây dựng năm 2024."
"153","Đa bậc đào tạo","Chi phí học cao học ngành Hệ thống thông tin?","Thông tin bậc đào tạo sau ĐH ngành Hệ thống thông tin."
"154","Tra cứu đơn lẻ","Khối thi của ngành Quản trị kinh doanh năm 2023 là gì?","Thông tin cơ bản về Quản trị kinh doanh năm 2023."
"155","Tra cứu đơn lẻ","Điểm chuẩn ngành Quản trị kinh doanh năm 2024 là bao nhiêu?","Thông tin cơ bản về Quản trị kinh doanh năm 2024."
"156","Đa bậc đào tạo","Điều kiện học văn bằng 2 ngành Kỹ thuật điện?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật điện."
"157","Đa bậc đào tạo","Chỉ tiêu tuyển sinh cao học ngành Logistics năm nay?","Thông tin bậc đào tạo sau ĐH ngành Logistics."
"158","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Thương mại điện tử năm 2023 không?","Thông tin cơ bản về Thương mại điện tử năm 2023."
"159","Tra cứu đơn lẻ","Chỉ tiêu ngành Kỹ thuật phần mềm năm 2024 lấy bao nhiêu?","Thông tin cơ bản về Kỹ thuật phần mềm năm 2024."
"160","Tra cứu đơn lẻ","Chỉ tiêu ngành Trí tuệ nhân tạo năm 2023 lấy bao nhiêu?","Thông tin cơ bản về Trí tuệ nhân tạo năm 2023."
"161","Đa bậc đào tạo","Chi phí học cao học ngành Ngôn ngữ Anh?","Thông tin bậc đào tạo sau ĐH ngành Ngôn ngữ Anh."
"162","Ngoài phạm vi","Các châu lục trên Trái Đất?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"163","Tra cứu đơn lẻ","Học phí ngành Luật năm 2022 là bao nhiêu?","Thông tin cơ bản về Luật năm 2022."
"164","Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Tài chính ngân hàng hay Thương mại điện tử ưu tiên hơn?","Phân tích giữa Tài chính ngân hàng và Thương mại điện tử..."
"165","Tra cứu đơn lẻ","Khối thi của ngành Kỹ thuật xây dựng năm 2022 là gì?","Thông tin cơ bản về Kỹ thuật xây dựng năm 2022."
"166","Tra cứu đơn lẻ","Khối thi của ngành Kế toán năm 2022 là gì?","Thông tin cơ bản về Kế toán năm 2022."
"167","Từ lóng viết tắt","Khối thi vào Log?","Thông tin chi tiết về Log."
"168","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Kỹ thuật ô tô năm 2022?","Thông tin cơ bản về Kỹ thuật ô tô năm 2022."
"169","Tra cứu đơn lẻ","Ngành Kinh tế số xét những tổ hợp môn nào trong năm 2024?","Thông tin cơ bản về Kinh tế số năm 2024."
"170","Ngoài phạm vi","Các thể loại âm nhạc phổ biến?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"171","Từ lóng viết tắt","review ngành AI ở TLU?","Thông tin chi tiết về AI."
"172","Tra cứu đơn lẻ","Điểm chuẩn ngành Tài chính ngân hàng năm 2023 là bao nhiêu?","Thông tin cơ bản về Tài chính ngân hàng năm 2023."
"173","Từ lóng viết tắt","Slot vào NNA?","Thông tin chi tiết về NNA."
"174","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Kỹ thuật điện năm 2023?","Thông tin cơ bản về Kỹ thuật điện năm 2023."
"175","Đa bậc đào tạo","Học phí thạc sĩ ngành Hệ thống thông tin là bao nhiêu?","Thông tin bậc đào tạo sau ĐH ngành Hệ thống thông tin."
"176","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Khoa học máy tính năm 2024?","Thông tin cơ bản về Khoa học máy tính năm 2024."
"177","Từ lóng viết tắt","Slot vào TMĐT?","Thông tin chi tiết về TMĐT."
"178","Ngoài phạm vi","Bài hát mới nhất của Sơn Tùng M-TP?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"179","Đa bậc đào tạo","Trường tuyển bao nhiêu thạc sĩ Hệ thống thông tin?","Thông tin bậc đào tạo sau ĐH ngành Hệ thống thông tin."
"180","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kinh tế số năm 2023?","Thông tin cơ bản về Kinh tế số năm 2023."
"181","Từ lóng viết tắt","Khối thi vào KT?","Thông tin chi tiết về KT."
"182","Đa bậc đào tạo","Chi phí học cao học ngành Logistics?","Thông tin bậc đào tạo sau ĐH ngành Logistics."
